GeoCode,BuildingType,NumberOfFloors,YearBuilt,BuildingCount
1102,SingleFamily,4Floors,1971to1980,0
1102,SingleFamily,5Floors,1971to1980,0
1102,SingleFamily,6Floors,1971to1980,0
1102,SingleFamily,7Floors,1971to1980,0
1102,SingleFamily,8Floors,1971to1980,0
1102,SingleFamily,9Floors,1971to1980,0
1102,SingleFamily,10Floors,1971to1980,0
1102,SingleFamily,11to12Floors,1971to1980,0
1102,SingleFamily,13PlusFloors,1971to1980,0
1102,SingleFamily,Unknown,1971to1980,0
1102,MultiDwelling,1Floor,1971to1980,0
1102,MultiDwelling,2Floors,1971to1980,0
1102,MultiDwelling,3Floors,1971to1980,0
1102,MultiDwelling,4Floors,1971to1980,3
1102,MultiDwelling,5Floors,1971to1980,1
1102,MultiDwelling,6Floors,1971to1980,0
1102,MultiDwelling,7Floors,1971to1980,1
1102,MultiDwelling,8Floors,1971to1980,0
1102,MultiDwelling,9Floors,1971to1980,0
1102,MultiDwelling,10Floors,1971to1980,0
1102,MultiDwelling,11to12Floors,1971to1980,0
1102,MultiDwelling,13PlusFloors,1971to1980,0
1102,MultiDwelling,Unknown,1971to1980,0
1102,NonResidential,1Floor,1971to1980,0
1102,NonResidential,2Floors,1971to1980,0
1102,NonResidential,3Floors,1971to1980,0
1102,NonResidential,4Floors,1971to1980,0
1102,NonResidential,5Floors,1971to1980,0
1102,NonResidential,6Floors,1971to1980,0
1102,NonResidential,7Floors,1971to1980,0
1102,NonResidential,8Floors,1971to1980,0
1102,NonResidential,9Floors,1971to1980,0
1102,NonResidential,10Floors,1971to1980,0
1102,NonResidential,11to12Floors,1971to1980,0
1102,NonResidential,13PlusFloors,1971to1980,0
1102,NonResidential,Unknown,1971to1980,0
1102,SingleFamily,1Floor,1981to1990,2
1102,SingleFamily,2Floors,1981to1990,1
1102,SingleFamily,3Floors,1981to1990,0
1102,SingleFamily,4Floors,1981to1990,0
1102,SingleFamily,5Floors,1981to1990,0
1102,SingleFamily,6Floors,1981to1990,0
1102,SingleFamily,7Floors,1981to1990,0
1102,SingleFamily,8Floors,1981to1990,0
1102,SingleFamily,9Floors,1981to1990,0
1102,SingleFamily,10Floors,1981to1990,0
1102,SingleFamily,11to12Floors,1981to1990,0
1102,SingleFamily,13PlusFloors,1981to1990,0
1102,SingleFamily,Unknown,1981to1990,0
1102,MultiDwelling,1Floor,1981to1990,0
1102,MultiDwelling,2Floors,1981to1990,0
1102,MultiDwelling,3Floors,1981to1990,0
1102,MultiDwelling,4Floors,1981to1990,5
1102,MultiDwelling,5Floors,1981to1990,13
1102,MultiDwelling,6Floors,1981to1990,1
1102,MultiDwelling,7Floors,1981to1990,1
1102,MultiDwelling,8Floors,1981to1990,5
1102,MultiDwelling,9Floors,1981to1990,0
1102,MultiDwelling,10Floors,1981to1990,0
1102,MultiDwelling,11to12Floors,1981to1990,0
1102,MultiDwelling,13PlusFloors,1981to1990,0
1102,MultiDwelling,Unknown,1981to1990,2
1102,NonResidential,1Floor,1981to1990,0
1102,NonResidential,2Floors,1981to1990,0
1102,NonResidential,3Floors,1981to1990,0
1102,NonResidential,4Floors,1981to1990,0
1102,NonResidential,5Floors,1981to1990,0
1102,NonResidential,6Floors,1981to1990,0
1102,NonResidential,7Floors,1981to1990,0
1102,NonResidential,8Floors,1981to1990,0
1102,NonResidential,9Floors,1981to1990,0
1102,NonResidential,10Floors,1981to1990,0
1102,NonResidential,11to12Floors,1981to1990,0
1102,NonResidential,13PlusFloors,1981to1990,0
1102,NonResidential,Unknown,1981to1990,0
1102,SingleFamily,1Floor,1991to2000,0
1102,SingleFamily,2Floors,1991to2000,1
1102,SingleFamily,3Floors,1991to2000,2
1102,SingleFamily,4Floors,1991to2000,0
1102,SingleFamily,5Floors,1991to2000,0
1102,SingleFamily,6Floors,1991to2000,0
