AREA,ReturnPeriod,AGG_RES_GU,AGG_RES_BLDG_GU,AGG_RES_CONT_GU,AGG_COM_GU,AGG_Com_Bldg_GU,AGG_Com_Cont_GU,AGG_IND_GU,AGG_Ind_Bldg_GU,AGG_Ind_Cont_GU,AGG_COMTOTAL_GU,AGG_AGR_GU,AGG_AUTO_GU,AGG_TOTAL_GU,AGG_RES_GR,AGG_RES_BLDG_GR,AGG_RES_CONT_GR,AGG_COM_GR,AGG_IND_GR,AGG_COMTOTAL_GR,AGG_AGR_GR,AGG_AUTO_GR,AGG_TOTAL_GR,AGG_RES_INS,AGG_RES_BLDG_INS,AGG_RES_CONT_INS,AGG_COM_INS,AGG_IND_INS,AGG_COMTOTAL_INS,AGG_AGR_INS,AGG_AUTO_INS,AGG_TOTAL_INS
CZE_11,100,1514739.615,1051729.677,466924.3912,10526247.5,5722116.482,4056303.602,441875.3307,168477.7476,183362.6098,10966821.03,0,94165.70416,12567287.13,1486697.068,1043728.43,451435.1025,9436249.812,380128.4613,9820730.03,0,62424.03063,11366488.95,843350.7811,550746.8578,294148.6379,5935688.848,222589.2312,6158278.079,0,39966.25818,7039892.483
CZE_11,250,53992543.38,35897283.6,17742869.07,394872412.7,212996783.3,157411399.1,11195832.29,4297867.467,4911057.138,406293178.2,0,221759.2877,460571287.8,53647965.36,35824829.7,17566189.47,380999624.7,10819846.36,391819471.1,0,153514.6427,445988903.4,1056470.765,690011.0798,367928.3239,7421250.823,278527.9189,7699778.742,0,49967.80668,8800390.025
CZE_11,500,65977565.8,44884736.76,20761764.52,529355128.4,291146332.5,205106557,15850046,6271411.744,6692184.069,545646981.8,0,289104.4423,611883059.2,65555260.06,44800569.13,20504629.21,507009484.4,15342085.54,522351569.9,0,211482.3779,588358902.8,1439134.215,933487.8484,505646.3663,10135322.39,379928.3476,10515250.74,0,67725.56369,12022110.51
CZE_11,1000,85102192.09,55907981.15,27821016.36,685193734.5,376956844.6,264081488.6,20380025.64,8102344.822,8809589.865,705573760.2,0,369106.8557,791030945.5,84859587.61,55668134.8,27467426.77,654615244.4,19783311.68,674406379.9,0,252792.048,758767161.8,42218693.78,26661721.54,15556972.24,322960294.1,8641381.552,331601675.6,0,148037.6631,373971788.8
CZE_11,2500,98632310.6,68522715.46,30109595.15,877548313.8,494486162.5,322379653.9,29121221.36,11557140.19,11665409.86,906669535.1,0,435656.8427,1005730793,97961574.64,68218058.32,29743516.31,855311166.3,28385931.88,883697098.1,0,288653.5163,981945331.3,59805190.99,36381820.63,23423370.36,470961680.9,12459131.58,483420812.4,0,199385.1155,543427050
CZE_11,5000,103517622.2,72646969.33,31202303.25,930783767.7,528818168.7,339391920.4,31267938.91,12449099.57,12403537.85,962051706.6,0,469122.1778,1066022504,103246162.5,72515301.33,30822466.25,896349661.9,29947376.99,926297038.9,0,369727.9484,1028241296,71798008.71,47352512.4,24445496.31,624451158.7,18398222.7,642849381.4,0,258809.5606,714906199.7
CZE_11,10000,125280605.1,89504819.65,35775785.4,1168909147,675150790.9,411314357.7,41282129.7,16698469.33,15908429.85,1210191277,0,554374.7912,1336026257,124970900.5,89350026.95,35620873.54,1095812188,39079917.22,1134892105,0,457329.3876,1260320335,86376102.63,58075162.41,28300940.22,776187328.9,24059790.68,800247119.6,0,320130.5663,886943352.8
CZE_12,0,459411.5784,318608.8471,140802.7314,1389076.619,756152.2359,530515.4148,75104.28099,28433.77179,31218.21659,1464180.9,0,15392.44589,1938984.924,454004.6462,316656.0022,137348.6441,1275738.392,64154.81602,1339893.208,0,9882.970312,1803780.825,157745.8793,102349.9343,55395.945,452682.1525,22387.74098,475069.8935,0,3879.488007,636695.2608
CZE_12,2,202390.6353,140664.7198,60634.29771,665528.0042,353994.0854,251422.9032,49612.40593,18554.5025,20158.7744,689632.8069,0,10414.35706,898254.8042,199584.3293,139537.0994,58777.98648,588324.3394,40024.7021,606928.338,0,6808.071046,810401.6814,0,0,0,0,0,0,0,0,0
CZE_12,5,539760.0159,374775.4886,165295.9978,1619004.22,880762.2032,614561.7696,114784.0262,43762.61893,47189.55772,1742949.928,0,27227.72124,2311465.433,531332.9395,371859.0988,159582.9736,1451600.265,96624.92339,1548041.633,0,17487.95135,2094663.498,243963.0016,158189.4659,84899.37105,701324.5659,44498.86897,744613.1858,0,8577.304498,992324.5696
