CantonCode,CantonName,BuildingType,DwellingsPerBuilding,NumberOfFloors,YearBuilt,BuildingCount
01,Aargau,SingleFamily,2Units,8Floors,2001to2005,0
01,Aargau,SingleFamily,2Units,8Floors,2006to2013,0
01,Aargau,SingleFamily,2Units,9Floors,1918AndBefore,0
01,Aargau,SingleFamily,2Units,9Floors,1919to1945,0
01,Aargau,SingleFamily,2Units,9Floors,1946to1960,0
01,Aargau,SingleFamily,2Units,9Floors,1961to1970,0
01,Aargau,SingleFamily,2Units,9Floors,1971to1980,0
01,Aargau,SingleFamily,2Units,9Floors,1981to1990,0
01,Aargau,SingleFamily,2Units,9Floors,1991to2000,0
01,Aargau,SingleFamily,2Units,9Floors,2001to2005,0
01,Aargau,SingleFamily,2Units,9Floors,2006to2013,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1918AndBefore,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1919to1945,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1946to1960,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1961to1970,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1971to1980,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1981to1990,0
01,Aargau,SingleFamily,2Units,10PlusFloors,1991to2000,0
01,Aargau,SingleFamily,2Units,10PlusFloors,2001to2005,0
01,Aargau,SingleFamily,2Units,10PlusFloors,2006to2013,0
01,Aargau,SingleFamily,3to5Units,1Floor,1918AndBefore,0
01,Aargau,SingleFamily,3to5Units,1Floor,1919to1945,0
01,Aargau,SingleFamily,3to5Units,1Floor,1946to1960,0
01,Aargau,SingleFamily,3to5Units,1Floor,1961to1970,0
01,Aargau,SingleFamily,3to5Units,1Floor,1971to1980,0
01,Aargau,SingleFamily,3to5Units,1Floor,1981to1990,0
01,Aargau,SingleFamily,3to5Units,1Floor,1991to2000,0
01,Aargau,SingleFamily,3to5Units,1Floor,2001to2005,0
01,Aargau,SingleFamily,3to5Units,1Floor,2006to2013,0
01,Aargau,SingleFamily,3to5Units,2Floors,1918AndBefore,0
01,Aargau,SingleFamily,3to5Units,2Floors,1919to1945,0
01,Aargau,SingleFamily,3to5Units,2Floors,1946to1960,0
01,Aargau,SingleFamily,3to5Units,2Floors,1961to1970,0
01,Aargau,SingleFamily,3to5Units,2Floors,1971to1980,0
01,Aargau,SingleFamily,3to5Units,2Floors,1981to1990,0
01,Aargau,SingleFamily,3to5Units,2Floors,1991to2000,0
01,Aargau,SingleFamily,3to5Units,2Floors,2001to2005,0
01,Aargau,SingleFamily,3to5Units,2Floors,2006to2013,0
01,Aargau,SingleFamily,3to5Units,3Floors,1918AndBefore,0
01,Aargau,SingleFamily,3to5Units,3Floors,1919to1945,0
01,Aargau,SingleFamily,3to5Units,3Floors,1946to1960,0
01,Aargau,SingleFamily,3to5Units,3Floors,1961to1970,0
01,Aargau,SingleFamily,3to5Units,3Floors,1971to1980,0
01,Aargau,SingleFamily,3to5Units,3Floors,1981to1990,0
01,Aargau,SingleFamily,3to5Units,3Floors,1991to2000,0
01,Aargau,SingleFamily,3to5Units,3Floors,2001to2005,0
01,Aargau,SingleFamily,3to5Units,3Floors,2006to2013,0
